sample_id	cell_type	treatment	group	dose	time_point	dye	slide	array	row	position	batch	file_name
MQ72_10_r3	MQ	MWCNT	MQ_MWCNT_10_72	10	72	Cy3	US11263921_257236319204	1_2	1	2	1	US11263921_257236319204_S01_GE2_1200_Jun14_1_2.txt
MQ24_20_r3	MQ	MWCNT	MQ_MWCNT_20_24	20	24	Cy3	US11263921_257236319204	1_3	1	3	1	US11263921_257236319204_S01_GE2_1200_Jun14_1_3.txt
MQ48_ctrl_r3	MQ	control	MQ_control_48	0	48	Cy5	US11263921_257236319205	1_1	1	1	1	US11263921_257236319205_S01_GE2_1200_Jun14_1_1.txt
MQ48_10_r1	MQ	MWCNT	MQ_MWCNT_10_48	10	48	Cy3	US11263921_257236319205	1_2	1	2	1	US11263921_257236319205_S01_GE2_1200_Jun14_1_2.txt
MQ72_20_r1	MQ	MWCNT	MQ_MWCNT_20_72	20	72	Cy3	US11263921_257236319205	1_4	1	4	1	US11263921_257236319205_S01_GE2_1200_Jun14_1_4.txt
MQ24_5_r3	MQ	MWCNT	MQ_MWCNT_5_24	5	24	Cy5	US11263921_257236319205	2_1	2	1	1	US11263921_257236319205_S01_GE2_1200_Jun14_2_1.txt
MQ48_20_r2	MQ	MWCNT	MQ_MWCNT_20_48	20	48	Cy5	US11263921_257236319205	2_2	2	2	1	US11263921_257236319205_S01_GE2_1200_Jun14_2_2.txt
MQ72_10_r2	MQ	MWCNT	MQ_MWCNT_10_72	10	72	Cy5	US11263921_257236319205	2_3	2	3	1	US11263921_257236319205_S01_GE2_1200_Jun14_2_3.txt
MQ24_ctrl_r2	MQ	control	MQ_control_24	0	24	Cy3	US11263921_257236319205	2_4	2	4	1	US11263921_257236319205_S01_GE2_1200_Jun14_2_4.txt
MQ48_ctrl_r1	MQ	control	MQ_control_48	0	48	Cy5	US11263921_257236319206	1_1	1	1	1	US11263921_257236319206_S01_GE2_1200_Jun14_1_1.txt
MQ72_20_r2	MQ	MWCNT	MQ_MWCNT_20_72	20	72	Cy5	US11263921_257236319206	1_3	1	3	1	US11263921_257236319206_S01_GE2_1200_Jun14_1_3.txt
